well_id,latitude,longitude,maaiveld_nap,filter_1_gemiddeld,filter_2_gemiddeld,filter_3_gemiddeld,filter_4_gemiddeld,filter_5_gemiddeld,filter_1_trend_15_jaar,filter_2_trend_15_jaar,filter_3_trend_15_jaar,filter_4_trend_15_jaar,filter_5_trend_15_jaar,filter_1_trend_25_jaar,filter_2_trend_25_jaar,filter_3_trend_25_jaar,filter_4_trend_25_jaar,filter_5_trend_25_jaar
B06E0222,53.27818589002303,6.062318415016101,-0.44,-0.6137,0.053,0.438,,,,,,,,,,,,
B06E0226,53.37852147566403,6.210359147097745,-0.38,-0.5919,0.5,,,,,,,,,,,,,
B06E0230,53.355743043885724,6.125982717006485,-1.04,-1.4881,-0.519,-0.389,-1.5092,-0.704,-0.417,,,,,,,,,
B06F0107,53.360100807342775,6.294122173997633,0.71,,,,,,,,,,,,,,,
B06G0159,53.268387899099324,6.201962679581659,-0.01,,,,,,,,,,,,,,,
B06G0173,53.25059824904227,6.201627019556522,,-0.2542,,,,,,,,,,,,,,
B06G0248,53.16910903927183,6.100798121198365,0.49,,,,,,,,,,,,,,,
B06G0040,53.2074195121205,6.187148361941255,0.5,-0.396,-1.5,-0.833,-0.2335,-1.323,-0.781,-0.1874,-0.808,-0.5,,,,,,
B06G0265,53.164336353434294,6.07171183630436,-0.58,,,,,,,,,,,,,,,
B06G0270,53.16867790206359,6.074621718402139,0.68,,,,,,,,,,,,,,,
B06G0272,53.1692593640416,6.075079573765225,0.98,,,,,,,,,,,,,,,
B06G0287,53.2364211944438,6.143546792872032,-0.26,,,,,,,,,,,,,,,
B06G0291,53.190355189690756,6.197844506272072,-0.39,-0.6156,,,-0.6227,,,,,,,,,,,
B06G0302,53.215742355501405,6.185520901412728,-0.31,-0.7065,,,-0.6667,,,,,,,,,,,
B06G0304,53.224452546928845,6.186445428960153,-1.09,-1.2993,,,-1.2521,,,,,,,,,,,
B06G0323,53.22894667594156,6.1037327852913545,-0.28,-0.3553,-0.312,,-0.3719,-0.282,,,,,,,,,,
B06G0329,53.213004868289374,6.121716064366959,0.12,-0.2193,,,,,,,,,,,,,,
B06D0377,53.173145428460565,6.025594174330245,0.45,-0.0586,0.5,0.364,,,,,,,,,,,,
B06D0479,53.17028123952876,5.947864326396238,-0.15,-1.1976,-2.786,,,,,,,,,,,,,
B06D0481,53.16399622856873,5.942908554492392,-0.59,-0.9635,,,,,,,,,,,,,,
B06D0488,53.172582120386544,5.957285906177232,-0.94,-1.3736,,,,,,,,,,,,,,
B06D0489,53.174179726414685,5.9576808394309735,-0.85,-1.2029,,,,,,,,,,,,,,
B07G0244,53.16633405105054,6.720582196519993,0.8,-0.8155,,,,,,,,,,,,,,
B07G0255,53.15518838026535,6.768379976601395,1.15,0.0159,,,,,,,,,,,,,,
B07G0171,53.19898316713204,6.693602864380112,-0.78,-2.8933,,,-2.5794,,,,,,,,,,,
B07G0074,53.17577091128364,6.682805824564183,1.55,-1.3704,0.625,0.429,-1.4479,0.5,0.25,-1.4019,0.444,-0.25,,,,,,
B07G0093,53.26253329358469,6.795598962060942,-1.4,-2.3679,-0.111,-0.35,-1.932,-0.112,-0.054,-2.1223,0,-0.143,-2.3332,0.1,-0.067,,,
B07G0095,53.22501477206858,6.797820337892324,-0.21,-1.4512,-0.577,-0.9,-2.1976,-0.125,-0.455,-2.1949,-0.111,-0.452,,,,,,
B07G0271,53.20040239328623,6.801432591824738,-1.68,-2.04,,,-2.371,,,,,,,,,,,
B07G0273,53.20006199804478,6.8043847841768175,-1.45,,,,,,,,,,,,,,,
B07G0279,53.1955703216436,6.804237620417966,-1.56,,,,,,,,,,,,,,,
B07G0282,53.196931474655656,6.806167828462572,-1.6,-1.9233,,,,,,,,,,,,,,
B07G0283,53.19467198554093,6.804208191866664,-1.9,,,,,,,,,,,,,,,
B07G0290,53.212788619049796,6.745218944601104,-1.35,-2.0445,,,-2.3081,,,,,,,,,,,
B07G0292,53.21171059983587,6.745185083469769,-1.31,-2.1441,,,,,,,,,,,,,,
B07G0309,53.19051171120385,6.670858196106832,-2.37,-1.9431,0.667,1.074,,,,,,,,,,,,
B07H0267,53.24595077350461,6.895634371346266,-0.97,-2.1964,,,,,,,,,,,,,,
B07H0272,53.214528413045954,6.949334047357013,-0.32,,,,,,,,,,,,,,,
B07H0117,53.24877155717777,6.907120320041417,-1.56,-3.1644,,,,,,,,,,,,,,
B07H0114,53.23896310590547,6.8354706121746895,0.52,-0.5412,-0.1,-0.5,-1.6598,-0.2,-0.333,,,,,,,,,
B08A0158,53.289166994203214,7.0798632138492925,0.25,0.2952,,,0.1715,,,,,,,,,,,
B08A0162,53.2822661807781,7.082321658146211,0.37,-0.4977,,,,,,,,,,,,,,
B08C0102,53.261546119587,6.9687211131223386,-1.88,,,,,,,,,,,,,,,
B08C0109,53.24180294406153,7.078710928011749,1,,,,,,,,,,,,,,,
B08C0094,53.151758313265304,6.999843484695574,0.18,-0.7337,,,,,,,,,,,,,,
B09D0382,53.02299700470202,4.72711958466897,3.1,,,,,,,,,,,,,,,
B09D0390,52.96266344857666,4.764214289356488,0.59,0.0105,,,,,,,,,,,,,,
B09D0394,53.0244410086799,4.721747062028502,1.96,1.737,,,,,,,,,,,,,,
B09D0317,53.014450793365675,4.725461140151757,3.85,,,,,,,,,,,,,,,
B09D0334,52.9405919564268,4.720795611480872,3,0.399,0.375,0.333,,,,,,,,,,,,
B09D0140,52.94792633119585,4.767817053874717,2.87,0.0788,,0.143,0.0975,0.182,0.348,0.0806,,0.286,,,,,,
B09D0400,52.99984204204656,4.73916389914391,2.17,2.1878,0.333,0.5,,,,,,,,,,,,
B09D0402,53.02557521150338,4.731864834144034,3.63,2.2477,,,,,,,,,,,,,,
B10E0139,53.12367407158398,5.608287732892496,0.15,,,,,,,,,,,,,,,
B40H1484,51.87675586161342,6.220520540475541,17.42,14.7322,,,,,,,,,,,,,,
B07D9592,53.19768156676006,6.5659421557320545,0.648,-0.475,,,,,,,,,,,,,,
B07D9595,53.199427503518244,6.552805207824181,-0.413,-1.2752,,,,,,,,,,,,,,
B10D0158,52.95358473230995,5.430803524938155,-0.66,,,,,,,,,,,,,,,
B10D0162,52.94532075275373,5.4202327657275875,-0.5,,,,,,,,,,,,,,,
B10D0065,52.985449638237974,5.43156517944302,0.6,-0.4118,1.5,0.9,-1.0577,-0.38,-0.75,-0.9122,-0.7,-0.155,-0.9484,4.225,3.5,-0.421,-0.5,0
B10D0071,52.97828520059994,5.455691252480531,0.02,-1.2504,-0.707,-0.333,-1.0585,-0.5,0.125,-0.9247,-0.286,-0.143,,,,,,
B10D0173,52.94801893566575,5.410564361923517,0.03,-0.1117,,,-0.1064,,,,,,,,,,,
B10D0186,52.95969988039239,5.416076865753343,-0.31,,,,,,,,,,,,,,,
